dreamsim,goal_image,steering_user_id,reference_prompt,model,attempt,generated_image,prompt,duplicate,clip_similarity
0.7552121877670288,https://storage.googleapis.com/promptsteering/d38f81c1-cfa0-4ffc-bd7a-06ca3ee294d5.png,67178ed32e9cc8c331d63a3c,"Five Black women wearing the same yellow dress. The women are standing in a row, with the woman on the left slightly in front of the others. The women are all smiling and looking at the camera. They are wearing yellow dresses with sweetheart necklines and spaghetti straps. The dresses have a beaded belt at the waist and a fitted silhouette. The women are all wearing their hair in different styles, including one woman with long black hair flowing over her shoulders. The background of the image is blurred, with hints of green foliage. The image is a photograph taken at a wedding, and the women in the image are bridesmaids.",sd3.5-large,1,https://storage.googleapis.com/promptsteering/799a083c-cbbb-45dd-82b7-7a1c946cb854.png,5 middle aged afro american women with yellow dresses,False,0.7876909971237183
0.8161627054214478,https://storage.googleapis.com/promptsteering/d38f81c1-cfa0-4ffc-bd7a-06ca3ee294d5.png,67178ed32e9cc8c331d63a3c,"Five Black women wearing the same yellow dress. The women are standing in a row, with the woman on the left slightly in front of the others. The women are all smiling and looking at the camera. They are wearing yellow dresses with sweetheart necklines and spaghetti straps. The dresses have a beaded belt at the waist and a fitted silhouette. The women are all wearing their hair in different styles, including one woman with long black hair flowing over her shoulders. The background of the image is blurred, with hints of green foliage. The image is a photograph taken at a wedding, and the women in the image are bridesmaids.",sd3.5-large,2,https://storage.googleapis.com/promptsteering/685e6bd2-f542-4f20-96e0-3a19d7bfe80f.png,5 middle aged afro american women with yellow bridesmaid dresses,False,0.8333274126052856
0.8028793334960938,https://storage.googleapis.com/promptsteering/d38f81c1-cfa0-4ffc-bd7a-06ca3ee294d5.png,67178ed32e9cc8c331d63a3c,"Five Black women wearing the same yellow dress. The women are standing in a row, with the woman on the left slightly in front of the others. The women are all smiling and looking at the camera. They are wearing yellow dresses with sweetheart necklines and spaghetti straps. The dresses have a beaded belt at the waist and a fitted silhouette. The women are all wearing their hair in different styles, including one woman with long black hair flowing over her shoulders. The background of the image is blurred, with hints of green foliage. The image is a photograph taken at a wedding, and the women in the image are bridesmaids.",sd3.5-large,3,https://storage.googleapis.com/promptsteering/349a80db-e6d9-4dac-903e-651f4cbfafa0.png,"5 middle aged afro american women with yellow bridesmaid dresses, behind them is some greenery.",False,0.8686435222625732
0.7966224551200867,https://storage.googleapis.com/promptsteering/d38f81c1-cfa0-4ffc-bd7a-06ca3ee294d5.png,67178ed32e9cc8c331d63a3c,"Five Black women wearing the same yellow dress. The women are standing in a row, with the woman on the left slightly in front of the others. The women are all smiling and looking at the camera. They are wearing yellow dresses with sweetheart necklines and spaghetti straps. The dresses have a beaded belt at the waist and a fitted silhouette. The women are all wearing their hair in different styles, including one woman with long black hair flowing over her shoulders. The background of the image is blurred, with hints of green foliage. The image is a photograph taken at a wedding, and the women in the image are bridesmaids.",sd3.5-large,4,https://storage.googleapis.com/promptsteering/286f4443-fce8-46aa-93b3-9c248a5ce308.png,"5 middle aged, all afro american women,  with yellow bridesmaid dresses, behind them is some greenery. some are wearing slight jewelry.",False,0.7830861806869507
0.8415011167526245,https://storage.googleapis.com/promptsteering/d38f81c1-cfa0-4ffc-bd7a-06ca3ee294d5.png,67178ed32e9cc8c331d63a3c,"Five Black women wearing the same yellow dress. The women are standing in a row, with the woman on the left slightly in front of the others. The women are all smiling and looking at the camera. They are wearing yellow dresses with sweetheart necklines and spaghetti straps. The dresses have a beaded belt at the waist and a fitted silhouette. The women are all wearing their hair in different styles, including one woman with long black hair flowing over her shoulders. The background of the image is blurred, with hints of green foliage. The image is a photograph taken at a wedding, and the women in the image are bridesmaids.",sd3.5-large,5,https://storage.googleapis.com/promptsteering/cbec4490-0a25-4438-846a-72e181a5a838.png,"5 middle aged, all afro american women,  with yellow bridesmaid dresses, behind them is some greenery. some are wearing slight jewelry.",False,0.8233213424682617
0.7560663819313049,https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,67178ed32e9cc8c331d63a3c,"A night scene of a city street with blue and red flashing lights from police cars and an ambulance. The police cars and ambulance are in the foreground on the right side of the image. The street is lined with buildings and trees, and there is a bus in the background on the left side of the image. The image is a photograph.",sd3.5-large,1,https://storage.googleapis.com/promptsteering/fc3d11e0-ad5f-4c08-9d17-df52e2125be4.png,"4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",False,0.8335093259811401
0.7397226095199585,https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,67178ed32e9cc8c331d63a3c,"A night scene of a city street with blue and red flashing lights from police cars and an ambulance. The police cars and ambulance are in the foreground on the right side of the image. The street is lined with buildings and trees, and there is a bus in the background on the left side of the image. The image is a photograph.",sd3.5-large,2,https://storage.googleapis.com/promptsteering/2a45ab29-2db0-4b74-9df4-788e1f9cd295.png,"4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",False,0.8326141834259033
0.7381423711776733,https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,67178ed32e9cc8c331d63a3c,"A night scene of a city street with blue and red flashing lights from police cars and an ambulance. The police cars and ambulance are in the foreground on the right side of the image. The street is lined with buildings and trees, and there is a bus in the background on the left side of the image. The image is a photograph.",sd3.5-large,3,https://storage.googleapis.com/promptsteering/0eddace6-4fd4-474a-9e42-c430d6475119.png,"4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. 1 is closer than the other 3. The photo is taken from the back. ",False,0.8422658443450928
0.7013978958129883,https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,67178ed32e9cc8c331d63a3c,"A night scene of a city street with blue and red flashing lights from police cars and an ambulance. The police cars and ambulance are in the foreground on the right side of the image. The street is lined with buildings and trees, and there is a bus in the background on the left side of the image. The image is a photograph.",sd3.5-large,4,https://storage.googleapis.com/promptsteering/29fc37cc-f456-47e9-855b-b5da401a622b.png,"4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. 1 is closer than the other 3. The photo is taken from the back. ",False,0.832155168056488
0.7766762971878052,https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,67178ed32e9cc8c331d63a3c,"A night scene of a city street with blue and red flashing lights from police cars and an ambulance. The police cars and ambulance are in the foreground on the right side of the image. The street is lined with buildings and trees, and there is a bus in the background on the left side of the image. The image is a photograph.",sd3.5-large,5,https://storage.googleapis.com/promptsteering/3ec39ecb-fd8b-4d4f-9b5e-f0a4b264a752.png,"4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. 1 is closer than the other 3. The photo is taken from the back. ",False,0.8381615877151489
