goal_image,steering_user_id,reference_prompt,reference_seed,model,attempt,generated_image,prompt,seed,dreamsim
https://storage.googleapis.com/promptsteering/2afd480e-a42d-4166-8be2-c122c32c96be.png,66b5e7d43db953a46ac0f262,"a seamless background of black and white butterflies. The butterflies are of various sizes and species, and are arranged in a repeating pattern. The butterflies are all facing the same direction, and their wings are spread out. The background is white, and the butterflies are black. The image has a light, airy feel, and is reminiscent of a spring or summer day. The style of the image is vector, and the butterflies are drawn in a realistic style.",946247,sd3.5-large,1,https://storage.googleapis.com/promptsteering/d583d657-7bb5-4a82-a4e5-a56d8556781b.png,monochromatic greyscale butterfly's flying in unison with one key butterfly taking the centre of the image ,1,0.7008323669433594
https://storage.googleapis.com/promptsteering/2afd480e-a42d-4166-8be2-c122c32c96be.png,66b5e7d43db953a46ac0f262,"a seamless background of black and white butterflies. The butterflies are of various sizes and species, and are arranged in a repeating pattern. The butterflies are all facing the same direction, and their wings are spread out. The background is white, and the butterflies are black. The image has a light, airy feel, and is reminiscent of a spring or summer day. The style of the image is vector, and the butterflies are drawn in a realistic style.",946247,sd3.5-large,2,https://storage.googleapis.com/promptsteering/b6340cd4-32de-4f74-a54d-a531635dd7e5.png,"monochromatic greyscale butterfly's flat on the image  flying predominantly upwards some facing more north-west and some north-east  with one key butterfly, looking directly upwards, taking the centre of the image. with a plain white background behind them ",2,0.683607816696167
https://storage.googleapis.com/promptsteering/2afd480e-a42d-4166-8be2-c122c32c96be.png,66b5e7d43db953a46ac0f262,"a seamless background of black and white butterflies. The butterflies are of various sizes and species, and are arranged in a repeating pattern. The butterflies are all facing the same direction, and their wings are spread out. The background is white, and the butterflies are black. The image has a light, airy feel, and is reminiscent of a spring or summer day. The style of the image is vector, and the butterflies are drawn in a realistic style.",946247,sd3.5-large,3,https://storage.googleapis.com/promptsteering/befd6ab9-1120-4d41-9627-b35e51cc74d3.png,"monochromatic greyscale butterfly's flat on the image  flying predominantly upwards some facing more north-west and some north-east  with one key butterfly, looking directly upwards, taking the centre of the image. with a plain white background behind them ",1,0.7847739458084106
https://storage.googleapis.com/promptsteering/2afd480e-a42d-4166-8be2-c122c32c96be.png,66b5e7d43db953a46ac0f262,"a seamless background of black and white butterflies. The butterflies are of various sizes and species, and are arranged in a repeating pattern. The butterflies are all facing the same direction, and their wings are spread out. The background is white, and the butterflies are black. The image has a light, airy feel, and is reminiscent of a spring or summer day. The style of the image is vector, and the butterflies are drawn in a realistic style.",946247,sd3.5-large,4,https://storage.googleapis.com/promptsteering/a0b52a8b-5d4c-417c-9fdc-6c3233c7f2c6.png,"monochromatic greyscale butterfly's flat on the image  flying predominantly upwards some facing more to the top left and right corners of the image =  with one key butterfly, looking directly upwards, taking the centre of the image. with a plain white background behind them ",1,0.677940845489502
https://storage.googleapis.com/promptsteering/2afd480e-a42d-4166-8be2-c122c32c96be.png,66b5e7d43db953a46ac0f262,"a seamless background of black and white butterflies. The butterflies are of various sizes and species, and are arranged in a repeating pattern. The butterflies are all facing the same direction, and their wings are spread out. The background is white, and the butterflies are black. The image has a light, airy feel, and is reminiscent of a spring or summer day. The style of the image is vector, and the butterflies are drawn in a realistic style.",946247,sd3.5-large,5,https://storage.googleapis.com/promptsteering/24a62d50-a406-4b46-b5fe-44902bb61351.png,"monochromatic greyscale butterfly's flat on the image, filling the image but not touching, flying predominantly upwards some facing more to the top left and right corners of the image with one key butterfly, looking directly upwards, taking the centre of the image. with a plain white background behind them ",1,0.7663665413856506
https://storage.googleapis.com/promptsteering/af8534cc-9650-4ba9-b1c9-0de3c5675818.png,66b5e7d43db953a46ac0f262,"A black cat lying on a black surface with its eyes open and its tail curled next to its belly, backlit by a bright light that emphasizes the sleekness and softness of its fur. Across the body of the cat, in the middle of the image, is white text that reads “Computer and TV screens exist to backlight a cat’s lovely tail!” The font is bold and sans-serif. The tone of the image is humorous and the style is a photograph.",454988,sd3.5-large,1,https://storage.googleapis.com/promptsteering/ab448f5c-c50d-4ea3-ad12-f23a36175e3a.png,"film noir style lighting shining on laying down cat, facing right, with the only back light shining in from the  back right of the image. with large white text taking up the empty space above the cat saying ""Computer and TV screens exist backigh a cat's lovely tail!"" ",1,0.7317866683006287
https://storage.googleapis.com/promptsteering/af8534cc-9650-4ba9-b1c9-0de3c5675818.png,66b5e7d43db953a46ac0f262,"A black cat lying on a black surface with its eyes open and its tail curled next to its belly, backlit by a bright light that emphasizes the sleekness and softness of its fur. Across the body of the cat, in the middle of the image, is white text that reads “Computer and TV screens exist to backlight a cat’s lovely tail!” The font is bold and sans-serif. The tone of the image is humorous and the style is a photograph.",454988,sd3.5-large,2,https://storage.googleapis.com/promptsteering/71cc5636-47be-4b68-a87a-702cef0747d6.png,"film noir style lighting shining on laying down cat, with the light so limited its almost just a silhouette of the cat, facing right, with the only back light shining in from the  back right of the image. with large white text in consistent bold font taking up the empty space above the cat saying ""Computer and TV screens exist backigh a cat's lovely tail!"" ",2,0.651455819606781
https://storage.googleapis.com/promptsteering/af8534cc-9650-4ba9-b1c9-0de3c5675818.png,66b5e7d43db953a46ac0f262,"A black cat lying on a black surface with its eyes open and its tail curled next to its belly, backlit by a bright light that emphasizes the sleekness and softness of its fur. Across the body of the cat, in the middle of the image, is white text that reads “Computer and TV screens exist to backlight a cat’s lovely tail!” The font is bold and sans-serif. The tone of the image is humorous and the style is a photograph.",454988,sd3.5-large,3,https://storage.googleapis.com/promptsteering/68bb5479-5f8f-4efa-af6f-69fb79c506c2.png,"film noir style lighting shining on laying down cat, with the light so limited its almost just a silhouette of the cat, facing right, with the only back light shining in from the  back right of the image. with large white text in consistent bold font taking up the empty space above the cat saying ""Computer and TV screens exist backigh a cat's lovely tail!"" ",3,0.6123964786529541
https://storage.googleapis.com/promptsteering/af8534cc-9650-4ba9-b1c9-0de3c5675818.png,66b5e7d43db953a46ac0f262,"A black cat lying on a black surface with its eyes open and its tail curled next to its belly, backlit by a bright light that emphasizes the sleekness and softness of its fur. Across the body of the cat, in the middle of the image, is white text that reads “Computer and TV screens exist to backlight a cat’s lovely tail!” The font is bold and sans-serif. The tone of the image is humorous and the style is a photograph.",454988,sd3.5-large,4,https://storage.googleapis.com/promptsteering/07c148cb-23b1-4be1-9a87-41eb42916c6b.png,"film noir style lighting shining on realistic laying down cat, with the light so limited its almost just a silhouette of the cat, facing right, with the only back light shining in from the  back right of the image. with large white text in consistent bold font taking up the empty space above the cat saying ""Computer and TV screens exist backigh a cat's lovely tail!"" ",1,0.7740120887756348
https://storage.googleapis.com/promptsteering/af8534cc-9650-4ba9-b1c9-0de3c5675818.png,66b5e7d43db953a46ac0f262,"A black cat lying on a black surface with its eyes open and its tail curled next to its belly, backlit by a bright light that emphasizes the sleekness and softness of its fur. Across the body of the cat, in the middle of the image, is white text that reads “Computer and TV screens exist to backlight a cat’s lovely tail!” The font is bold and sans-serif. The tone of the image is humorous and the style is a photograph.",454988,sd3.5-large,5,https://storage.googleapis.com/promptsteering/3f8401ce-b8c4-40e0-8b4c-f7b7e95649d6.png,"film noir style lighting shining on realistic laying down cat, with the light so limited its almost just a silhouette of the cat, completely facing right, with the only back light shining in from the  back right of the image. with large white text in consistent bold font taking up the empty space above the cat saying ""Computer and TV screens exist backigh a cat's lovely tail!"" ",1,0.7924957871437073
