goal_url,image_url,llm_prompt,original_prompt,score,model,steering_user_id,user_score
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/fa69d454-accc-45da-8f8b-109ff88e9871.png,"It was a calm evening in the suburban neighborhood, with a noticeable stillness in the air. Suddenly, the tranquility was disrupted as four police cruisers moved purposefully down the dimly lit street. Their rotating blue and red lights pierced the darkness, casting vivid flashes against the surrounding houses. The rhythmic wail of the sirens intensified the atmosphere, as neighbors peered through their windows, curious about the unfolding scene.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.6900908946990967,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/5819680f-7deb-4add-b131-fb0e4c269bab.png,"On a typical American street lined with maple trees, four patrol cars stood illuminated under the cloak of night. Each vehicle was strategically positioned, with its dazzling light bar casting vivid hues that danced on the asphalt. The air was filled with the hum and strobe of the emergency lights, as officers conferred in hushed tones, their silhouettes barely discernible against the illuminated backdrop.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.672094464302063,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/40fbbc08-da67-4705-a499-42c757c1c367.png,"In the heart of the small town, nightfall brought an unusual commotion. Four police vehicles, their lights a whirl of red and blue, parked side by side in the narrow street. The beams cast long shadows over the brick facades of nearby buildings, creating an atmosphere of heightened tension. The occasional crackle from police radios added a sense of urgency to the otherwise silent night.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.7128071784973145,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/1a796ccc-7abf-40e4-adb3-7aa10ee54877.png,"Within the quiet residential district, the evening peace was shattered by the arrival of four squad cars, their headlights cutting through the thick darkness. The vivid red and blue lights reflected chaotically off the rain-slicked roads, signaling an incident that had drawn the attention of the entire block. Neighbors cautiously ventured onto their porches for a better look, the scene starkly contrasting the usual serenity of their street.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.7108792066574097,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/dca7ed2e-9b8e-4c91-a98a-91b0f6115955.png,"As dusk settled over the sleepy American town, four police cars formed a barrier across the otherwise empty street. Their flashing lights were an electric display, interspersed with the distant echo of a siren that seemed to chase the wind. A cluster of officers gathered behind the blockade, their movements calculated and deliberate, outlined by the flashing backdrop of red and blue luminescence.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.6923884749412537,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/23268518-7d1d-4bc7-909e-50585a9ae01a.png,"On an ordinary evening, an extraordinary sight unfolded in a well-to-do suburb. Four police cruisers, with their distinctive insignias barely visible in the dark, flooded the street with a cascade of alternating lights. The resulting glow highlighted the outlines of curious residents emerging from their homes, each desperate to piece together the nighttime puzzle that unfurled before them.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.7340471148490906,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/8d7477e2-e11c-4760-80c1-d0a206873058.png,"Beneath the canopy of a starless sky, an American street became the stage for a vivid display of law enforcement activity. Four police vehicles stood vigil, their twin beacons of red and blue creating an arresting visual against the backdrop of a once quiet neighborhood. The stark contrast between the vibrant lights and the shadows they cast painted a scene ripe with intrigue, as small clusters of locals gathered, braving the chill of the evening to witness the night's events.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.7374666929244995,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/0e2b8df7-7b47-48ff-9536-431d4c77b75e.png,"A cheerful and whimsical frog with a wide, toothless grin sits in the center of the portrait. Its bulging eyes slightly tilt outward, gleaming with mischief. The skin of the frog is a vibrant and speckled array of green hues, each spot unique and adding to its playful charm. Behind the frog, the background is a bright, lush green, reminiscent of a verdant jungle, enhancing the frog's lively personality. ---",A smilling and goofy frog portrait with a green background,0.7562265396118164,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/9a3f4f3c-6807-445c-add2-b8df4eac327d.png,"In this vivid portrait, a jovial frog is captured mid-guffaw, its oversized mouth stretched into a comical smile. The rich green of its smooth skin is dappled with darker patches, adding texture to its appearance. Its eyes are large and expressive, brimming with spirited energy. The background is a soothing emerald, evoking the freshness of a thriving wetland. ---",A smilling and goofy frog portrait with a green background,0.6988535523414612,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/cd0b1038-c9d7-4504-8720-f30547229375.png,"This portrait presents a frog with a humorous twist: its mouth forms a crooked, silly smile that tells of froggy hijinks. The frog's skin is light green with darker green marbling, giving it a distinctive pattern. It stands against a bright green backdrop that suggests a sunlit pond, making the frog appear both joyful and slightly mischievous. ---",A smilling and goofy frog portrait with a green background,0.7651847004890442,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
